Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
Romania,12914.0,214.33,12.6,1.3,3.6740740112434844,0.828,6.4,40.99999999991087,84.0,98.0,0.65,0.05,0.057,7.0,14.0,6513.0,58.0,36.0,4527.643624011947,7.3,1.76,42.0,22.5,64.3,42.5,68.6,25469.0,-0.5,75.6,54.5,116.0,96.8,26.7,3.1,7.0,238.33,530.347,14984.0,3490.0,8.8
Russia,11606.0,87.01,11.7,8.2,4.3,0.824,3.31,58.0,34.0,61.8,12.5,0.1,1.0,5.8,14.0,2371.0,32.0,37.5,2751.028034873455,21.6,1.504,34.2,23.1,85.1,40.3,58.9,73292.0,0.01,73.2,51.0,325.0,99.2,24.9,3.7,4.0,163.57,559.78,115171.0,3320.0,-5.1
Rwanda,820.0,118.23143392227234,9.0,2.6,3.646335559420473,0.543,3.1,40.999999999689294,95.0,93.6,4.8,0.04999999987904857,0.012999999791588834,34.3,14.0,1895.0000000110595,29.0,43.7,5412.383296793751,9.5,3.99,20.2,5.8,21.6,19.7,71.1,3193.999999955471,2.36,69.1,4.4,511.0,24.3,20.6,3.1,35.300000000132854,7.23,13.819,2854.000000615604,2090.0,17.85
Saudi Arabia,2314.0,90.24,0.2,1.3,8.4,0.854,2.08,26.0,93.0,5.0,98.2,0.3,0.013000000075578555,6.6,12.0,96.0,31.0,36.39999999949714,-280.69664656652094,5.4,2.275,17.2,35.4,80.3,30.8,60.7,324866.0,1.9,74.3,44.6,126.49999999992554,51.4,20.4,5.6,35.300000001086175,83.65,323.356,2387.0,3120.0,24.65
Senegal,1452.0,35.32,0.7,0.3,2.7928268836344308,0.512,5.67,40.99999999971652,96.0,4.2,96.1,0.3,0.013000000095814812,45.3,13.0,649.0,42.0,40.3,1950.0119616403667,11.0,4.556,14.7,8.8,29.6,19.4,56.3,3193.999999991356,2.77,68.6,17.7,68.0,21.5,19.9,4.8,35.30000000000746,16.86,24.473,2853.9999997329433,2280.0,27.85
Serbia,7359.0,77.88,11.1,1.2,2.241280660925146,0.806,6.22,40.99999999972027,54.0,91.0,3.1,0.05,0.0089,5.3,14.0,341.0,62.0,36.2,3817.7773765595784,7.9,1.52,45.9,21.5,70.2,43.4,63.9,2272.0,-0.34,75.9,34.949999999984186,158.0,96.6,28.1,4.0,28.5,148.53,652.98,11897.0,2700.0,10.55
Seychelles,17382.0,81.83516974690343,13.8,12.5,1.9525994673269071,0.796,5.754999999986467,40.99999999969771,84.00000000030946,94.7,1.1,0.05,0.012999999963199116,14.2,13.000000000121872,3957.0,180.0,46.8,4725.347468591504,7.7,2.34,25.7,14.0,57.3,36.8,61.4,3193.9999999230495,0.5,73.3,51.1,324.0,71.5,25.2,4.4,35.30000000006822,79.23,102.991,2854.0000005518086,2400.0,27.15
Sierra Leone,528.0,-50.36782806654975,5.7,1.7,4.209587046801567,0.452,4.86,40.99999999926223,83.99999999960983,15.45,78.6,0.3,0.013000000226384145,109.2,14.0,666.0,36.0,35.7,-2043.3950600169046,11.3,4.169,37.0,8.7,13.1,19.1,47.5,3194.0000000495347,2.12,60.8,6.1,60.0,3.7,17.1,4.6,35.2999999998263,7.0,5.359,2853.9999994712416,2120.0,26.05
Singapore,64103.0,245.5,2.5,0.2,7.155525796719838,0.938,6.03,40.99999999956765,70.0,18.0,15.6,33.9,0.0057,2.5,10.0,1894.999999961714,471.0,36.40000000008581,1317.5441536843152,9.7,1.14,16.6,6.1,83.7,35.6,89.4,3194.0000001021544,1.4,83.2,71.1,185.0,84.0,27.9,2.9,35.29999999988996,108.47000000001265,1990.274,12000.0,2750.0000000012305,26.45
Slovakia,19256.0,101.28,11.5,1.1,4.313413287153226,0.86,6.97,31.0,47.0,80.0,0.15,0.05,0.016,5.8,14.0,841.0,112.0,25.2,2142.0,9.3,1.56,32.1,20.5,81.5,41.8,65.0,37.0,0.04,78.2,67.4,190.0,64.59999999997056,28.1,3.9,35.2999999999671,143.14,975.974,9400.0,2900.0,6.8
Slovenia,26062.0,108.47,12.6,0.5,2.911292385061505,0.917,7.54,41.0,47.0,68.0,3.6,0.05,0.00063,2.1,14.0,12153.0,104.0,24.2,3042.0,14.0,1.61,25.3,20.2,79.0,44.9,65.5,3194.0000000578,0.07,81.3,88.0,53.0,99.3,29.0,4.8,18.3,235.01,1542.951,2853.9999997629784,3220.0,8.9
South Africa,6001.0,43.91,9.3,36.4,1.3295966672620136,0.709,7.05,14.0,85.0,79.8,1.9,0.2,0.43,34.5,12.0,3239.0,57.0,63.0,2485.1983332801865,23.5,2.381,38.1,28.3,55.1,28.0,58.3,35.0,1.2,65.3,39.0,248.0,72.1,29.0,6.2,36.0,55.75,225.098,5418.0,3000.0,17.75
South Korea,32143.0,241.58,10.2,0.6,2.8,0.916,8.01,69.0,43.0,27.6,0.1,22.9,0.00063,3.2,12.0,18695.0,33.0,31.6,3085.0,21.2,0.864,35.0,4.7,96.6,43.2,72.3,3194.000000024127,0.36,83.06,48.0,105.0,64.59999999999722,30.4,5.1,2.0,29.05,1297.123,63476.0,3040.0,11.5
Spain,29816.0,186.4,10.0,0.6,1.9175896241184778,0.904,8.12,41.0,49.0,59.2,2.6,0.05,0.074,3.1,14.0,15187.0,170.0,34.7,3430.0,5.3,1.24,37.5,23.8,90.8,43.9,65.7,57.0,0.03,83.2,118.6,122.0,94.7,32.3,4.2,6.4,164.29,1167.994,89962.0,3260.0,13.3
